time	temperature	heat_index	dewpoint	wind_direction	wind_speed	wind_gust	humidity	pressure
20210124 07:45	1.1		0.1	158.0	4.0	4.9	93.0	992.7
20210124 07:55	1.2		0.2	158.0	4.0	5.4	93.0	992.7
20210124 08:00	1.2		0.2	158.0	3.6	4.9	93.0	992.7
20210124 08:10	1.3		0.3	158.0	3.6	4.9	93.0	992.9
20210124 08:15	1.2		0.2	158.0	4.0	5.4	93.0	993.0
20210124 08:25	1.1		0.1	158.0	3.6	5.4	93.0	992.9
20210124 08:35	1.2		0.2	158.0	4.5	5.8	93.0	992.9
20210124 08:45	1.2		0.2	158.0	4.9	6.3	93.0	992.8
20210124 08:55	1.2		0.1	158.0	4.9	6.7	92.0	992.9
20210124 09:05	1.2		0.1	158.0	5.4	6.7	92.0	993.0
20210124 09:10	1.2		0.1	158.0	4.9	7.2	92.0	993.1
20210124 09:15	1.2		0.1	158.0	4.9	6.7	92.0	993.1
20210124 09:20	1.2		0.1	158.0	4.5	7.2	92.0	993.2
20210124 09:25	1.2		0.1	158.0	4.5	7.2	92.0	993.3
20210124 09:35	1.2		0	158.0	4.9	6.7	92.0	993.2
20210124 09:40	1.2		0	158.0	4.9	6.7	92.0	993.3
20210124 09:45	1.2		0.1	158.0	4.9	7.2	92.0	993.4
20210124 09:50	1.2		0.1	158.0	5.4	6.3	92.0	993.4
20210124 09:55	1.2		-0.1	158.0	4.9	6.3	91.0	993.4
20210124 10:00	1.1		-0.2	158.0	4.5	6.7	91.0	993.4
20210124 10:05	1.1		-0.2	158.0	4.9	7.2	91.0	993.4
20210124 10:10	1.1		-0.2	180.0	5.4	6.3	91.0	993.4
20210124 10:15	1.0		-0.3	180.0	5.4	7.2	91.0	993.5
20210124 10:20	0.9		-0.4	180.0	5.8	6.7	91.0	993.5
20210124 10:25	0.9		-0.4	180.0	5.4	6.7	91.0	993.4
20210124 10:30	0.9		-0.4	158.0	5.4	6.3	91.0	993.5
20210124 10:35	0.9		-0.4	158.0	5.4	6.7	91.0	993.5
20210124 10:45	1.1		-0.2	158.0	5.4	6.7	91.0	993.5
20210124 10:50	1.1		-0.2	158.0	5.4	7.2	91.0	993.6
20210124 10:55	1.0		-0.3	180.0	5.4	6.3	91.0	993.6
20210124 11:00	0.9		-0.4	180.0	5.8	7.2	91.0	993.7
20210124 11:05	0.9		-0.4	180.0	5.8	7.6	91.0	993.7
20210124 11:10	1.0		-0.3	180.0	5.8	8.0	91.0	993.7
20210124 11:15	0.9		-0.4	180.0	5.8	7.6	91.0	993.7
20210124 11:20	0.9		-0.4	180.0	5.4	7.2	91.0	993.7
20210124 11:30	0.9		-0.4	180.0	5.8	7.2	91.0	993.8
20210124 11:35	0.8		-0.6	180.0	5.8	7.2	90.0	993.8
20210124 11:40	0.8		-0.5	180.0	5.8	7.2	91.0	993.9
20210124 11:45	0.7		-0.6	180.0	5.8	6.7	91.0	993.9
